"relative_path","absolute_path","category","signature","purpose","direct_public_dependencies","sha256","validation_status"
"_shared/+converter/+runtime/sha256File.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/_shared/+converter/+runtime/sha256File.m","公共内核_IO_输出_运行时","function hashText = sha256File(filePath)","按分类使用；不是独立测量入口","","d73b4e6f29567ebcdf3399ecd2418e232237e78b4de002d57820dc46e4bce746","按本次实施报告逐项核对；清单不等于方法已验证"
"_shared/+converter/+runtime/validateConfig.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/_shared/+converter/+runtime/validateConfig.m","公共内核_IO_输出_运行时","function validateConfig(config, requiredFields)","按分类使用；不是独立测量入口","","7b869ec05c6c8dbcf494763ce3fc3b22614a7bb7a7f2067550d96166a06490d4","按本次实施报告逐项核对；清单不等于方法已验证"
"_shared/+converter/+runtime/valueToText.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/_shared/+converter/+runtime/valueToText.m","公共内核_IO_输出_运行时","function textValue = valueToText(value)","按分类使用；不是独立测量入口","converter.runtime.valueToText","0e9735c691ab5f7e1d19dceedcac650cb2be9e2e3b399fc1a787a089800a4c41","按本次实施报告逐项核对；清单不等于方法已验证"
"_shared/+converter/+runtime/writeRunManifest.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/_shared/+converter/+runtime/writeRunManifest.m","公共内核_IO_输出_运行时","function writeRunManifest(runFolder, dataFolder, fileNames)","按分类使用；不是独立测量入口","converter.io.resolveInputPath; converter.report.writeTable; converter.runtime.sha256File","741b343391f76ec5173e3676f772c48fb3cc4ca6db372445e618bd914bcbbbc5","按本次实施报告逐项核对；清单不等于方法已验证"
"_shared/+converter/+runtime/writeSourceManifest.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/_shared/+converter/+runtime/writeSourceManifest.m","公共内核_IO_输出_运行时","function writeSourceManifest(runFolder, fileName)","按分类使用；不是独立测量入口","converter.report.writeTable; converter.runtime.sha256File","ab8b9539125388b1cf6d676ebd387877d9db4d9e1ec39677bf2901b1e958f2fd","按本次实施报告逐项核对；清单不等于方法已验证"
"noise_chain_hy/adc_input_equiv_noise_analysis.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/noise_chain_hy/adc_input_equiv_noise_analysis.m","PICO联合噪声内核","function result = adc_input_equiv_noise_analysis(runConfig)","按分类使用；不是独立测量入口","converter.calibration.loadAdcCalibration; converter.io.loadPicoMat; converter.report.plotSpectrum; converter.report.writeTable; converter.runtime.finalizeBundle; converter.runtime.refreshResultPaths; converter.runtime.sha256File; converter.runtime.writeSourceManifest","ccf958e087c7d242b80cc0779eab26add435669b4599c2111eaed6432d83fa96","按本次实施报告逐项核对；清单不等于方法已验证"
"tests/fixtures/file_selection_ui/cw513TestDialog.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/tests/fixtures/file_selection_ui/cw513TestDialog.m","测试夹具","function varargout = cw513TestDialog(varargin)","按分类使用；不是独立测量入口","","85a9654b4e86ebd0cca876b80df7f1ccc68c1e620d003311abac25ffaf7182e8","按本次实施报告逐项核对；清单不等于方法已验证"
"tests/fixtures/file_selection_ui/inputdlg.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/tests/fixtures/file_selection_ui/inputdlg.m","测试夹具","function varargout = inputdlg(varargin)","按分类使用；不是独立测量入口","","e5b759b88f46733c6deb964b0c3bc14abe277c993554d11daa76b7936018ffc0","按本次实施报告逐项核对；清单不等于方法已验证"
"tests/fixtures/file_selection_ui/listdlg.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/tests/fixtures/file_selection_ui/listdlg.m","测试夹具","function varargout = listdlg(varargin)","按分类使用；不是独立测量入口","","2f9c51912ca333b191fa481df1e9a95b3ac88a542ba87cd5b52fe055d509dc7c","按本次实施报告逐项核对；清单不等于方法已验证"
"tests/fixtures/file_selection_ui/uigetdir.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/tests/fixtures/file_selection_ui/uigetdir.m","测试夹具","function varargout = uigetdir(varargin)","按分类使用；不是独立测量入口","","eb41a4df2adcba899196bb5ab9ee35d04bb7d68d1f3e2ebb44b17a0428549494","按本次实施报告逐项核对；清单不等于方法已验证"
"tests/fixtures/file_selection_ui/uigetfile.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/tests/fixtures/file_selection_ui/uigetfile.m","测试夹具","function varargout = uigetfile(varargin)","按分类使用；不是独立测量入口","","96cbf10a1fd0ff705c5bd9e5bd8569712976eb628784e5e26d7960bd73809717","按本次实施报告逐项核对；清单不等于方法已验证"
"tests/integration/ad2208PowerScaleWorkflowTest.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/tests/integration/ad2208PowerScaleWorkflowTest.m","测试","classdef ad2208PowerScaleWorkflowTest < matlab.unittest.TestCase","按分类使用；不是独立测量入口","converter.adc.dbmToVpp","5f10041398bf247eb3ba988f488027ce018fff220e35cf7a3175a5cb56ebc1ba","按本次实施报告逐项核对；清单不等于方法已验证"
"tests/integration/ad677WorkflowTest.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/tests/integration/ad677WorkflowTest.m","测试","classdef ad677WorkflowTest < matlab.unittest.TestCase","按分类使用；不是独立测量入口","","d54b6fe6bfd41441613e10f472f3925734bd4d100e8a6037d3dca799483f269e","按本次实施报告逐项核对；清单不等于方法已验证"
"tests/integration/ad9245WorkflowTest.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/tests/integration/ad9245WorkflowTest.m","测试","classdef ad9245WorkflowTest < matlab.unittest.TestCase","按分类使用；不是独立测量入口","","981868fb0c98edd9a76d1001f60f7cbff0f36aa2c967e71a8b0137f35ed2e32c","按本次实施报告逐项核对；清单不等于方法已验证"
"tests/integration/fileSelectionTest.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/tests/integration/fileSelectionTest.m","测试","classdef fileSelectionTest < matlab.unittest.TestCase","按分类使用；不是独立测量入口","converter.io.resolveInputPath; converter.io.selectCsvFiles; converter.runtime.evidencePath","f544b35bb58fed2ced72ce80cd09ad7a51454a08d309a42181d10637ba286131","按本次实施报告逐项核对；清单不等于方法已验证"
"tests/integration/portabilityTest.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/tests/integration/portabilityTest.m","测试","classdef portabilityTest < matlab.unittest.TestCase","按分类使用；不是独立测量入口","","d7487cd5f396215c76e87a1f4856fc29dc1a5b25dd0764e6e85e324127a5a348","按本次实施报告逐项核对；清单不等于方法已验证"
"tests/run_all_tests.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/tests/run_all_tests.m","测试","function results = run_all_tests()","按分类使用；不是独立测量入口","","9c6ca20887ba7700da18f964960a934bdecd103eb55ed33357b556f4f0bf17e3","按本次实施报告逐项核对；清单不等于方法已验证"
"tests/run_golden_regression.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/tests/run_golden_regression.m","测试","function report = run_golden_regression(dataRoot)","按分类使用；不是独立测量入口","converter.runtime.evidencePath","a2bf99704ebca55e1a12d6fa1ab27374b4210dffc4bfbf752efe03c74bdd58c4","按本次实施报告逐项核对；清单不等于方法已验证"
"tests/run_portability_smoke.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/tests/run_portability_smoke.m","测试","function report = run_portability_smoke()","按分类使用；不是独立测量入口","converter.runtime.evidencePath","37663038c9a089913f5ffad162546cabec8cf0ce6abb238db45b5638180f575c","按本次实施报告逐项核对；清单不等于方法已验证"
"tests/unit/ad677ContractTest.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/tests/unit/ad677ContractTest.m","测试","classdef ad677ContractTest < matlab.unittest.TestCase","按分类使用；不是独立测量入口","converter.adc.calculateBandwidth; converter.adc.calculatePowerScale; converter.io.detectChannel; converter.io.parseFrequencyHz","dc2afc15510c330227aded737926c33db4b1b935690e24c4484cf9647e56733e","按本次实施报告逐项核对；清单不等于方法已验证"
"tests/unit/adcCoreTest.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/tests/unit/adcCoreTest.m","测试","classdef adcCoreTest < matlab.unittest.TestCase","按分类使用；不是独立测量入口","converter.adc.analyzeDynamicMetrics; converter.adc.calculateBandwidth; converter.adc.calculateInlDnl; converter.adc.calculateIsolation; converter.adc.estimateFrequency; converter.adc.findThreeDbCrossing; converter.adc.fitSine","9194730bf0611572348e5224c40f7068bdec0efa5daea89bcbe4f605e5fae6b8","按本次实施报告逐项核对；清单不等于方法已验证"
"tests/unit/adcMethodGuardsTest.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/tests/unit/adcMethodGuardsTest.m","测试","classdef adcMethodGuardsTest < matlab.unittest.TestCase","按分类使用；不是独立测量入口","converter.adc.analyzeDynamicMetrics; converter.adc.calculateBandwidth; converter.adc.calculateInlDnl; converter.adc.calculateIsolation","52bdb9791002729bae577824c3203dc47a254169fb42c83d8e01f0e0c9628b84","按本次实施报告逐项核对；清单不等于方法已验证"
"tests/unit/adcRadixTest.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/tests/unit/adcRadixTest.m","测试","classdef adcRadixTest < matlab.unittest.TestCase","按分类使用；不是独立测量入口","converter.io.detectChannel; converter.io.prepareAdcRadix; converter.io.readAdcCsv; converter.runtime.recordInputDecoding","d54ff1e275dd14b07ce57fa9e84d2057ee993dc358d3d280328f89ae360fa943","按本次实施报告逐项核对；清单不等于方法已验证"
"tests/unit/criticalInputEstimateTest.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/tests/unit/criticalInputEstimateTest.m","测试","classdef criticalInputEstimateTest < matlab.unittest.TestCase","按分类使用；不是独立测量入口","converter.adc.estimateCriticalInput","39e90b0ba9ab8c3a1345282afe7d69e9e3cde49d584c2d3b605f2dc3080e86ae","按本次实施报告逐项核对；清单不等于方法已验证"
"tests/unit/dacCoreTest.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/tests/unit/dacCoreTest.m","测试","classdef dacCoreTest < matlab.unittest.TestCase","按分类使用；不是独立测量入口","converter.dac.estimateToneFrequency; converter.dac.fitTone; converter.dac.loadPicoMat; converter.dac.runIsolation; converter.dac.runNoise; converter.dac.runScale; converter.io.prepareDacIsolation","4e8b60dbe00fa97a6b490abd95c171a58b27b5c3cdd1dea025251faf604ffda6","按本次实施报告逐项核对；清单不等于方法已验证"
"tests/unit/ioUtilitiesTest.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/tests/unit/ioUtilitiesTest.m","测试","classdef ioUtilitiesTest < matlab.unittest.TestCase","按分类使用；不是独立测量入口","converter.io.extractChannel; converter.io.parseDrivenChannel; converter.io.parseFrequencyHz; converter.io.parsePowerDbm; converter.io.readAdcCsv","bc3d2604fa790ced0c14166c60f72d7f8ac2065c20355a073e074cf6870edabc","按本次实施报告逐项核对；清单不等于方法已验证"
"tests/unit/noiseInputContractTest.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/tests/unit/noiseInputContractTest.m","测试","classdef noiseInputContractTest < matlab.unittest.TestCase","按分类使用；不是独立测量入口","converter.dac.fitTone; converter.dac.runNoise; converter.dac.runScale; converter.io.loadPicoMat","1a8694e68144d2c58766e05547be945f38ef301732bdb859bb2ac5925b7fb257","按本次实施报告逐项核对；清单不等于方法已验证"
"tests/unit/summaryWorkbookTest.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/tests/unit/summaryWorkbookTest.m","测试","classdef summaryWorkbookTest < matlab.unittest.TestCase","按分类使用；不是独立测量入口","converter.report.buildSummarySheets; converter.report.writeSummaryXlsx; converter.report.writeTable; converter.runtime.finalizeBundle; converter.runtime.refreshResultPaths","47304429949190c9ee2ab3175b7e8bf9e56c2889e9ad12c10d6473ca1d30fbcb","按本次实施报告逐项核对；清单不等于方法已验证"
"tools/buildDeviceRelease.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/tools/buildDeviceRelease.m","维护或通用工具","function release = buildDeviceRelease(deviceName, version)","按分类使用；不是独立测量入口","converter.report.writeTable; converter.runtime.getGitRevision; converter.runtime.sha256File","3850d4929ae586218f38da375ed0d0d5980cd00cee3cf7e4a948e3b65206e841","按本次实施报告逐项核对；清单不等于方法已验证"
"tools/deviceReleaseRegistry.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/tools/deviceReleaseRegistry.m","维护或通用工具","function spec = deviceReleaseRegistry(deviceName)","按分类使用；不是独立测量入口","","f0667e86a32fbecc89c8a5fd714f130e76112cb3eebc54e09318ca6bca8220de","按本次实施报告逐项核对；清单不等于方法已验证"
"tools/split_pico_mat_channels.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/tools/split_pico_mat_channels.m","维护或通用工具","function result = split_pico_mat_channels(dataFolder, selectedFiles, outputFolder, options)","按分类使用；不是独立测量入口","converter.io.resolveInputPath; converter.io.selectMatFiles; converter.report.writeTable; converter.runtime.sha256File","1e1cbda9fddb937561f2a2e604097fc8b996fe40f9456fb724e7c7d7d3a04c29","按本次实施报告逐项核对；清单不等于方法已验证"
"tools/verifyDeviceRelease.m","F:/01_Laser/code/matlab/513DIANXING_analysis/CW_analysis/CW_513_ANALYSIS/tools/verifyDeviceRelease.m","维护或通用工具","function passed = verifyDeviceRelease(releaseFolder, spec)","按分类使用；不是独立测量入口","converter.adc.fitSine; converter.dac.fitTone","1fa84864decafd874ce41245ea1093823673f22b4057c32a82327fbc9f2e391b","按本次实施报告逐项核对；清单不等于方法已验证"
